name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Zenith Nutrition Whey Protein (Double Rich Chocolate, 1050gms) with Enzymes for Digestion | 26g protein",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71lur4CoXVL._AC_UL320_.jpg,https://www.amazon.in/Zenith-Nutrition-Digestion-Sweetener-Chocolate/dp/B07NWNXZ4Z/ref=sr_1_786?qid=1679216004&s=hpc&sr=1-786,3.9,588,"₹1,775","₹2,499"
"Man Matters Beard Gummies for Men | 30 Days Pack | Thicken Beard, Stimulates Beard Follicles & Improves Beard Density | Bi...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71XQ19G1MjL._AC_UL320_.jpg,https://www.amazon.in/Man-Matters-Stimulates-D-aspartic-Gelatin-Free/dp/B09X7H29TN/ref=sr_1_787?qid=1679216004&s=hpc&sr=1-787,3.7,192,₹449,₹499
Zandu Pancharishta Sugar Free 650ml,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61YmwmZIvpL._AC_UL320_.jpg,https://www.amazon.in/Zandu-Pancharishta-Ayurvedic-Digestive-Suitable/dp/B09NDV292Z/ref=sr_1_788?qid=1679216004&s=hpc&sr=1-788,4.5,9,₹210,₹225
"Traya Health Tatva Immunity Booster Tablet for Stress Relief & Metabolism Boost, Plant-based Ayurvedic Tablets, Contains P...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/51AU9o+H8KL._AC_UL320_.jpg,https://www.amazon.in/Traya-Health-Ayurvedic-formula-tablets/dp/B096SL4MWJ/ref=sr_1_789?qid=1679216004&s=hpc&sr=1-789,4.1,49,₹285,₹300
"Baidyanath Khadirarishta | Ayurvedic Syrup for Skin Disorders | Blood Purifier, 450 ml",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/51a6J3jnbUL._AC_UL320_.jpg,https://www.amazon.in/Baidyanath-Khadirarishta-Ayurvedic-Disorders-Purifier/dp/B09MKFPQP9/ref=sr_1_790?qid=1679216004&s=hpc&sr=1-790,4.1,148,₹122,₹190
"Wellbeing Nutrition Daily Fiber | Natural Prebiotic Digestive Fiber from Nuts, Seeds & Legumes | Relieves Bloating, Gas Co...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71lDu4lOthL._AC_UL320_.jpg,https://www.amazon.in/Wellbeing-Nutrition-Prebiotic-Constipation-Cholesterol/dp/B0BCQNRPM9/ref=sr_1_791?qid=1679216004&s=hpc&sr=1-791,4.2,51,₹899,₹999
"MuscleBlaze MuscleHerb, Ashwagandha, Shatavari and Safed Musli, For Muscle Gain & Performance, Ayurveda For Performance, A...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61L00XM9TqL._AC_UL320_.jpg,https://www.amazon.in/Muscleblaze-Performance-MuscleHerb-Ashwagandha-Shatavari/dp/B08KZZ1772/ref=sr_1_792?qid=1679216004&s=hpc&sr=1-792,3.9,"1,443",₹499,₹599
Herbalife Nutrition Personalised Protein Powder (400 g),beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61HF+VYYoPL._AC_UL320_.jpg,https://www.amazon.in/Herbalife-Personalized-Protein-Powder-400g/dp/B0757R7QQM/ref=sr_1_1033_mod_primary_new?qid=1679216008&s=hpc&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1033,3.9,267,"₹1,520","₹2,594"
Carbamide Forte Fat Burner for Men & Women | Weight Loss Support - 60 Veg Tablets,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71wseX5volL._AC_UL320_.jpg,https://www.amazon.in/Carbamide-Forte-Supplement-Garcinia-Ingredients/dp/B07MK352F9/ref=sr_1_1034?qid=1679216008&s=hpc&sr=1-1034,3.8,366,₹499,₹675
Rheuma Gold Majoon 200gm (Pack of 4),beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/81dVMJhYZ7L._AC_UL320_.jpg,https://www.amazon.in/Rheuma-Gold-Majoon-200gm-Pack/dp/B0BLZR6RT9/ref=sr_1_1035?qid=1679216008&s=hpc&sr=1-1035,4.6,7,₹630,"₹1,280"
Dr. Biswas Good Health Ayurvedic (Pack of 12) (600 Capsules) by AM Sales,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/81BPnaMbn0L._AC_UL320_.jpg,https://www.amazon.in/Dr-Biswas-Health-Ayurvedic-Capsules/dp/B08V72J1VC/ref=sr_1_1036_mod_primary_new?qid=1679216008&s=hpc&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1036,4.3,76,₹789,"₹2,784"
"Bigmuscles Nutrition Real Mass Gainer Powder [Chocolate], Lean Whey Protein Muscle Mass Gainer, Complex Carbohydrates, 100...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61kLLuClMXL._AC_UL320_.jpg,https://www.amazon.in/Bigmuscles-Nutrition-Chocolate-Carbohydrates-Calories/dp/B0853FF17C/ref=sr_1_1037?qid=1679216008&s=hpc&sr=1-1037,3.7,815,₹525,₹949
"Kapiva Pure Tulsi Ark Drops - Natural taste, color, and smell - 5 types of pure Tulsi, Natural Immunity Booster - 30 Ml | ...",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61cdRzoWUNL._AC_UL320_.jpg,https://www.amazon.in/Kapiva-Pure-Tulsi-Ark-Drops/dp/B08CDLPCBY/ref=sr_1_1038?qid=1679216008&s=hpc&sr=1-1038,4.3,718,₹260,₹320
Herbalife Formula 1 Nutritional Shake Mix - 500 g (Dutch Chocolate Flavour),beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/41ybNTFMc-S._AC_UL320_.jpg,https://www.amazon.in/Herbalife-Shake-Mix-500-Chocolate/dp/B00HNPRJP4/ref=sr_1_1039?qid=1679216008&s=hpc&sr=1-1039,4.1,"1,711","₹1,310","₹2,276"
"JAIN Madhumardan Powder, Diabetes Care, Natural, Ayurvedic Product, No Heavy Metals (Bhasmas)/Preservative, 300 g",beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/61FtUhxIOZL._AC_UL320_.jpg,https://www.amazon.in/Jain-Madhumardan-300g/dp/B012D7W3O8/ref=sr_1_1040?qid=1679216008&s=hpc&sr=1-1040,4.2,"1,009",₹246,₹360
Vidyapith Ayurved Sugar Churna Special Powder - 100GM,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/51OwpAPlQuL._AC_UL320_.jpg,https://www.amazon.in/Vidyapith-Ayurved-Churna-Special-Powder/dp/B0BSB3DHZ7/ref=sr_1_1041?qid=1679216008&s=hpc&sr=1-1041,4.0,1,"₹1,440","₹2,620"
Nutrela Vitamin B12 Biofermented Plant Based Supplement for Men & Women with Moringa and Aloevera Extract - 30 Veg Capsules,beauty & health,Diet & Nutrition,https://m.media-amazon.com/images/I/71a5mcrRMzL._AC_UL320_.jpg,https://www.amazon.in/Nutrela-Vitamin-Biofermented-Supplement-Aloevera/dp/B09F9HMHMD/ref=sr_1_1042?qid=1679216008&s=hpc&sr=1-1042,4.0,188,₹139,₹150
